nome_ingles,grupo_muscular,gif_url
Cable Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Lateral-Raise.gif
Leaning Single Arm Dumbbell Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/06/Leaning-Single-Arm-Dumbbell-Lateral-Raise.gif
Leaning Cable Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/09/Leaning-Cable-Lateral-Raise.gif
Dumbbell Front Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Front-Raise.gif
Alternating Dumbbell Front Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/06/Alternating-Dumbbell-Front-Raise.gif
Two Arm Dumbbell Front Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/08/Two-Arm-Dumbbell-Front-Raise.gif
Cable Front Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Front-Raise.gif
Two Arm Cable Front Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/08/Two-Arm-Cable-Front-Raise.gif
Dumbbell Push Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Push-Press.gif
Seated Rear Lateral Dumbbell Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Rear-Lateral-Dumbbell-Raise.gif
Dumbbell Chest Supported Lateral Raises,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-Chest-Supported-Lateral-Raises.gif
Bent Arm Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Bent-Arm-Laterl-Raise.gif
Dumbbell 6 Way Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-6-Ways-Raise.gif
Dumbbell 4 Way Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2022/02/Dumbbell-4-Ways-Lateral-Raise.gif
Barbell Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Curl.gif
Dumbbell Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Curl.gif
Double Arm Dumbbell Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2022/04/Double-Arm-Dumbbell-Curl.gif
Hammer Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hammer-Curl.gif
Seated Hammer Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Seated-Hammer-Curl.gif
Concentration Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Concentration-Curl.gif
Dumbbell Preacher Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Preacher-Curl.gif
EZ Bar Preacher Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Z-Bar-Preacher-Curl.gif
Lever Preacher Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Preacher-Curl.gif
Seated Incline Dumbbell Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Incline-Dumbbell-Curl.gif
Zottman Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/zottman-curl.gif
Seated Zottman Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2023/10/Seated-Zottman-Curl.gif
High Cable Single Arm Bicep Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/High-Cable-Single-Arm-Bicep-Curl.gif
One Arm Cable Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/One-Arm-Cable-Curl.gif
Lying Cable Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/lying-cable-curl.gif
Overhead Cable Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/overhead-cable-curl.gif
Cable Concentration Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Concentration-Curl.gif
Single Arm Cable Preacher Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/cable-preacher-curls.gif
Cable Rope Hammer Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/06/rope-bicep-curls.gif
Dumbbell Reverse Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/dumbbell-reverse-curl.gif
Seated Biceps Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/seated-biceps-curl.gif
Prone Incline Barbell Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Prone-Incline-Biceps-Curl.gif
Seated Close-Grip Concentration Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Seated-close-grip-concentration-curl.gif
Lying High Bench Barbell Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2022/04/Lying-High-Bench-Barbell-Curl.gif
Waiter Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2023/09/waiter-curl.gif
Standing Barbell Concentration Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2023/10/Standing-Barbell-Concentration-Curl.gif
Reverse Grip EZ-Bar Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/08/Reverse-Grip-EZ-Bar-Curl.gif
Dumbbell Scott Hammer Curl,Biceps,https://fitnessprogramer.com/wp-content/uploads/2021/08/Dumbbell-Scott-Hammer-Curl.gif
Push-down,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pushdown.gif
